rank,ligand,target,affinity_kcal_mol,rmsd_lb,rmsd_ub,decision,mw,logp,hbd,hba,tpsa,rot_bonds,logbb,sa_score,lipinski_violations,pains_count,admet_decision,admet_failures,final_decision
1,Hesperetin,MAO-B,-9.02,0.0,0.0,PASS,302.28,2.52,3,6,96.22,2,-0.902,2.91,0,0,FAIL,TPSA=96.22 Å² (need <90 for CNS),✗ FAIL
2,Hesperidin,MAO-B,-8.975,0.0,0.0,PASS,610.57,-1.16,8,15,234.29,7,-3.504,4.82,3,0,FAIL,MW=610.57 (need ≤450 Da for CNS); logP=-1.16 (need -0.5–5.0); HBD=8 (need ≤3 for CNS); HBA=15 (need ≤7); TPSA=234.29 Å² (need <90 for CNS); logBB=-3.504 (need >-1.0 for CNS); Lipinski violations=3 (need ≤1),✗ FAIL
3,Rutin,MAO-B,-8.92,0.0,0.0,PASS,610.52,-1.69,10,16,269.43,6,-4.105,4.78,3,1,FAIL,MW=610.52 (need ≤450 Da for CNS); logP=-1.69 (need -0.5–5.0); HBD=10 (need ≤3 for CNS); HBA=16 (need ≤7); TPSA=269.43 Å² (need <90 for CNS); logBB=-4.105 (need >-1.0 for CNS); Lipinski violations=3 (need ≤1); PAINS alerts=1: catechol_A(92),✗ FAIL
4,Donepezil,MAO-B,-8.844,0.0,0.0,PASS,393.53,4.75,0,4,38.77,6,0.287,2.71,0,0,PASS,None,✓ LEAD CANDIDATE
5,Luteolin,MAO-B,-8.793,0.0,0.0,PASS,286.24,2.28,4,6,111.13,1,-1.159,2.42,0,1,FAIL,HBD=4 (need ≤3 for CNS); TPSA=111.13 Å² (need <90 for CNS); logBB=-1.159 (need >-1.0 for CNS); PAINS alerts=1: catechol_A(92),✗ FAIL
6,Quercetin,MAO-B,-8.692,0.0,0.0,PASS,302.24,1.99,5,7,131.36,1,-1.503,2.54,0,1,FAIL,HBD=5 (need ≤3 for CNS); TPSA=131.36 Å² (need <90 for CNS); logBB=-1.503 (need >-1.0 for CNS); PAINS alerts=1: catechol_A(92),✗ FAIL
7,Fisetin,MAO-B,-8.654,0.0,0.0,PASS,286.24,2.28,4,6,111.13,1,-1.159,2.36,0,1,FAIL,HBD=4 (need ≤3 for CNS); TPSA=111.13 Å² (need <90 for CNS); logBB=-1.159 (need >-1.0 for CNS); PAINS alerts=1: catechol_A(92),✗ FAIL
8,Myricetin,MAO-B,-8.606,0.0,0.0,PASS,318.24,1.69,6,8,151.59,1,-1.847,2.73,1,1,FAIL,HBD=6 (need ≤3 for CNS); HBA=8 (need ≤7); TPSA=151.59 Å² (need <90 for CNS); logBB=-1.847 (need >-1.0 for CNS); PAINS alerts=1: catechol_A(92),✗ FAIL
9,Baicalein,MAO-B,-8.591,0.0,0.0,PASS,270.24,2.58,3,5,90.9,1,-0.815,2.25,0,1,FAIL,TPSA=90.9 Å² (need <90 for CNS); PAINS alerts=1: catechol_A(92),✗ FAIL
10,Genistein,MAO-B,-8.541,0.0,0.0,PASS,270.24,2.58,3,5,90.9,1,-0.815,2.3,0,0,FAIL,TPSA=90.9 Å² (need <90 for CNS),✗ FAIL
11,Kaempferol,MAO-B,-8.537,0.0,0.0,PASS,286.24,2.28,4,6,111.13,1,-1.159,2.37,0,0,FAIL,HBD=4 (need ≤3 for CNS); TPSA=111.13 Å² (need <90 for CNS); logBB=-1.159 (need >-1.0 for CNS),✗ FAIL
12,Chrysin,MAO-B,-8.484,0.0,0.0,PASS,254.24,2.87,2,4,70.67,1,-0.47,2.1,0,0,PASS,None,✓ LEAD CANDIDATE
13,Apigenin,MAO-B,-8.471,0.0,0.0,PASS,270.24,2.58,3,5,90.9,1,-0.815,2.25,0,0,FAIL,TPSA=90.9 Å² (need <90 for CNS),✗ FAIL
14,Catechin,MAO-B,-8.418,0.0,0.0,PASS,290.27,1.55,5,6,110.38,1,-1.26,3.34,0,1,FAIL,HBD=5 (need ≤3 for CNS); TPSA=110.38 Å² (need <90 for CNS); logBB=-1.26 (need >-1.0 for CNS); PAINS alerts=1: catechol_A(92),✗ FAIL
15,Epicatechin,MAO-B,-8.366,0.0,0.0,PASS,290.27,1.55,5,6,110.38,1,-1.26,3.34,0,1,FAIL,HBD=5 (need ≤3 for CNS); TPSA=110.38 Å² (need <90 for CNS); logBB=-1.26 (need >-1.0 for CNS); PAINS alerts=1: catechol_A(92),✗ FAIL
16,Resveratrol,MAO-B,-8.352,0.0,0.0,PASS,228.25,2.97,3,3,60.69,2,-0.307,2.11,0,0,PASS,None,✓ LEAD CANDIDATE
17,"7,8-DHF",MAO-B,-8.315,0.0,0.0,PASS,254.24,2.87,2,4,70.67,1,-0.47,2.05,0,1,FAIL,PAINS alerts=1: catechol_A(92),✗ FAIL
18,"7,8-Dihydroxyflavone",MAO-B,-8.281,0.0,0.0,PASS,254.24,2.87,2,4,70.67,1,-0.47,2.1,0,1,FAIL,PAINS alerts=1: catechol_A(92),✗ FAIL
19,Curcumin,MAO-B,-8.199,0.0,0.0,PASS,368.39,3.37,2,6,93.06,8,-0.726,2.43,0,0,FAIL,TPSA=93.06 Å² (need <90 for CNS),✗ FAIL
20,Safinamide,MAO-B,-8.134,0.0,0.0,PASS,302.35,2.37,2,3,64.35,7,-0.453,2.27,0,0,PASS,None,✓ LEAD CANDIDATE
21,Epigallocatechin gallate,MAO-B,-8.036,0.0,0.0,PASS,458.38,2.23,8,11,197.37,3,-2.443,3.74,2,1,FAIL,MW=458.38 (need ≤450 Da for CNS); HBD=8 (need ≤3 for CNS); HBA=11 (need ≤7); TPSA=197.37 Å² (need <90 for CNS); logBB=-2.443 (need >-1.0 for CNS); Lipinski violations=2 (need ≤1); PAINS alerts=1: catechol_A(92),✗ FAIL
22,Galantamine,MAO-B,-7.744,0.0,0.0,PASS,287.36,1.85,1,4,41.93,1,-0.2,4.23,0,0,PASS,None,✓ LEAD CANDIDATE
23,Rivastigmine,MAO-B,-7.124,0.0,0.0,PASS,250.34,2.76,0,3,32.78,4,0.073,2.67,0,0,PASS,None,✓ LEAD CANDIDATE
24,Naringenin,MAO-B,-6.905,0.0,0.0,FAIL,272.26,2.51,3,5,86.99,1,-0.767,2.83,0,0,PASS,None,✗ FAIL
25,NP-alpha1,MAO-B,-6.755,0.0,0.0,FAIL,220.32,1.41,1,3,24.5,3,-0.009,1.86,0,0,PASS,None,✗ FAIL
26,Rasagiline,MAO-B,-6.618,0.0,0.0,FAIL,171.24,1.9,1,1,12.03,2,0.249,2.77,0,0,PASS,None,✗ FAIL
27,Caffeic acid,MAO-B,-6.357,0.0,0.0,FAIL,180.16,1.2,3,3,77.76,2,-0.83,2.04,0,1,FAIL,PAINS alerts=1: catechol_A(92),✗ FAIL
28,Ferulic acid,MAO-B,-6.263,0.0,0.0,FAIL,194.19,1.5,2,3,66.76,3,-0.621,1.87,0,0,PASS,None,✗ FAIL
29,Selegiline,MAO-B,-5.787,0.0,0.0,FAIL,159.23,1.75,0,1,3.24,3,0.357,1.97,0,0,PASS,None,✗ FAIL
